rank	total_score	price_eur	motor	condition	source	title	url	description	price_score	motor_score	value_score	source_score
1	68.0	2.799	Unknown	refurbished	RABE	Focus JamÂ² SL 8.8	https://www.rabe-bike.de/en/focus-jam-sl-8-8-limeyellow-carbon-raw-2023?childsku=63096	RABE Sale – Focus JamÂ² SL 8.8	40.0	0	20	8
2	68.0	1.899	Unknown	refurbished	RABE	Trek Madone SL 5 Gen 8	https://www.rabe-bike.de/en/trek-madone-sl-5-gen-8-matte-deep-smoke-2025?childsku=72381	RABE Sale – Trek Madone SL 5 Gen 8	40.0	0	20	8
3	68.0	2.999	Unknown	refurbished	RABE	Focus JamÂ² SL 8.8	https://www.rabe-bike.de/en/focus-jam-sl-8-8-lightgrey-carbon-raw-2023?childsku=63092	RABE Sale – Focus JamÂ² SL 8.8	40.0	0	20	8
4	68.0	2.699	Unknown	refurbished	RABE	Trek Checkpoint SL 6 AXS Gen 3	https://www.rabe-bike.de/en/trek-checkpoint-sl-6-axs-gen-3-matte-hex-marianas-blue-2025?childsku=79476	RABE Sale – Trek Checkpoint SL 6 AXS Gen 3	40.0	0	20	8
5	68.0	2.999	Unknown	refurbished	RABE	Focus Izalco Max 9.7	https://www.rabe-bike.de/en/focus-izalco-max-9-7-heritage-blue-stone-blue-2024?childsku=79560	RABE Sale – Focus Izalco Max 9.7	40.0	0	20	8
6	68.0	1.619	Unknown	refurbished	RABE	Cannondale Scalpel HT Carbon 3	https://www.rabe-bike.de/en/cannondale-scalpel-ht-carbon-3-ion-blue-2026?childsku=82537	RABE Sale – Cannondale Scalpel HT Carbon 3	40.0	0	20	8
7	68.0	2.999	Unknown	refurbished	RABE	2nd Choice - CUBE Kathmandu Hybrid Pro 800 Easy Entry	https://www.rabe-bike.de/en/2-wahl-cube-kathmandu-hybrid-pro-800-sunglow-n-chrome-2026-easy-entry?childsku=84135	RABE Sale – 2nd Choice - CUBE Kathmandu Hybrid Pro 800 Easy Entry	40.0	0	20	8
8	68.0	1.999	Unknown	refurbished	RABE	CUBE Litening AIR C:68X Frameset	https://www.rabe-bike.de/en/cube-litening-air-c-68x-frameset-team-replica-2025?childsku=82640	RABE Sale – CUBE Litening AIR C:68X Frameset	40.0	0	20	8
9	68.0	2.999	Unknown	refurbished	RABE	2nd Choice - CUBE Kathmandu Hybrid Pro 800 Easy Entry	https://www.rabe-bike.de/en/2-wahl-cube-kathmandu-hybrid-pro-800-sunglow-n-chrome-2026?childsku=84121	RABE Sale – 2nd Choice - CUBE Kathmandu Hybrid Pro 800 Easy Entry	40.0	0	20	8
10	67.9	4.999	Unknown	refurbished	RABE	Cannondale Moterra 2	https://www.rabe-bike.de/en/cannondale-moterra-2-matte-black-2025?childsku=76484	RABE Sale – Cannondale Moterra 2	39.9	0	20	8
11	67.9	4.999	Unknown	refurbished	RABE	Cannondale Moterra 2	https://www.rabe-bike.de/en/cannondale-moterra-carbon-2-jade-2025?childsku=76489	RABE Sale – Cannondale Moterra 2	39.9	0	20	8
12	67.9	3.799	Unknown	refurbished	RABE	Focus VamÂ² SL 9.9	https://www.rabe-bike.de/en/focus-vam-sl-9-9-carbon-raw-2024?childsku=68569	RABE Sale – Focus VamÂ² SL 9.9	39.9	0	20	8
13	67.9	4.399	Unknown	refurbished	RABE	Kalkhoff Entice 5+ Excite ABS	https://www.rabe-bike.de/en/kalkhoff-entice-5-excite-abs-moonstone-grey-2026?childsku=81876	RABE Sale – Kalkhoff Entice 5+ Excite ABS	39.9	0	20	8
14	67.9	3.199	Unknown	refurbished	RABE	2nd Choice - CUBE Stereo Hybrid ONE44 Pro 800	https://www.rabe-bike.de/en/2-wahl-cube-stereo-hybrid-one44-pro-800-shiftblush-n-raisin-2026?childsku=84126	RABE Sale – 2nd Choice - CUBE Stereo Hybrid ONE44 Pro 800	39.9	0	20	8
15	67.9	3.499	Unknown	refurbished	RABE	Haibike Lyke CF 10	https://www.rabe-bike.de/en/haibike-lyke-cf-10-carbon-silver-2025?childsku=82437	RABE Sale – Haibike Lyke CF 10	39.9	0	20	8
16	67.9	3.399	Unknown	refurbished	RABE	2nd Choice - Cannondale Synapse Carbon 3 SmartSense	https://www.rabe-bike.de/en/2-wahl-cannondale-synapse-carbon-3-smartsense-stvzo-cashmere-2026?childsku=84039	RABE Sale – 2nd Choice - Cannondale Synapse Carbon 3 SmartSense	39.9	0	20	8
17	56.8	699.0	Unknown	refurbished	RABE	2nd Choice - Elite Justo 2	https://www.rabe-bike.de/en/2-wahl-elite-justo-2	RABE Sale – 2nd Choice - Elite Justo 2	28.8	0	20	8
18	52.8	1699.0	Bosch	new	Airtracks	"28"" E-Bike City Fahrrad V-Tron RACK BOSCH ACTIVE LINE PLUS 400 Wh 7s SHIMANO NEXUS RÜCKTRITTBREMSE"	https://www.airtracks.de/collections/e-bike-herren-damen-bosch-schimano-motor/products/28-zoll-city-fahrrad-e-bike-v-tron-cr-ls-rack-bosch-active-plus-line-gen3-400-wh-7-gang-shimano-nexus-kopie	"e-bike-herren-damen-bosch-schimano-motor – 28"" E-Bike City Fahrrad V-Tron RACK BOSCH ACTIVE LINE PLUS 400 Wh 7s SHIMANO NEXUS RÜCKTRITTBREMSE"	12.8	30	5	5
19	52.8	1699.0	Bosch	new	Airtracks	"28"" E-Bike City Fahrrad V-Tron RACK BOSCH ACTIVE LINE PLUS 400 Wh 7s SHIMANO NEXUS RÜCKTRITTBREMSE"	https://www.airtracks.de/collections/e-bikes-fahrrader-sale/products/28-zoll-city-fahrrad-e-bike-v-tron-cr-ls-rack-bosch-active-plus-line-gen3-400-wh-7-gang-shimano-nexus-kopie	"e-bikes-fahrrader-sale – 28"" E-Bike City Fahrrad V-Tron RACK BOSCH ACTIVE LINE PLUS 400 Wh 7s SHIMANO NEXUS RÜCKTRITTBREMSE"	12.8	30	5	5
20	52.0	1749.0	Bosch	new	Airtracks	28 Zoll City Fahrrad E-Bike V-Tron CR LS RACK BOSCH ACTIVE LINE Gen3 400 Wh 7 GANG SHIMANO NEXUS	https://www.airtracks.de/collections/e-bike-herren-damen-bosch-schimano-motor/products/v-tron-wave-1	e-bike-herren-damen-bosch-schimano-motor – 28 Zoll City Fahrrad E-Bike V-Tron CR LS RACK BOSCH ACTIVE LINE Gen3 400 Wh 7 GANG SHIMANO NEXUS	12.0	30	5	5
21	51.2	1799.0	Bosch	new	Airtracks	"28"" Trekking Fahrrad E-Bike V-Tron LS Rack BOSCH ACTIVE LINE 400 Wh 7 GANG SHIMANO NEXUS"	https://www.airtracks.de/collections/e-bike-herren-damen-bosch-schimano-motor/products/28-zoll-trekking-fahrrad-e-bike-v-tron-ls-rack-bosch-active-plus-line-gen3-400-wh-7-gang-shimano-nex	"e-bike-herren-damen-bosch-schimano-motor – 28"" Trekking Fahrrad E-Bike V-Tron LS Rack BOSCH ACTIVE LINE 400 Wh 7 GANG SHIMANO NEXUS"	11.2	30	5	5
22	46.4	2099.0	Bosch	new	Airtracks	"28"" Herren E-Bike Trekking Fahrrad LUMINA BOSCH PERFORMANCE LINE CX 500Wh 9s SHIMANO ALIVIO"	https://www.airtracks.de/collections/e-bike-herren-damen-bosch-schimano-motor/products/28-zoll-herren-e-bike-trekking-fahrrad-lumina-bosch-performance-line-cx-gen4-500wh-9s-shimano-alivio	"e-bike-herren-damen-bosch-schimano-motor – 28"" Herren E-Bike Trekking Fahrrad LUMINA BOSCH PERFORMANCE LINE CX 500Wh 9s SHIMANO ALIVIO"	6.4	30	5	5
23	46.4	2099.0	Bosch	new	Airtracks	"28"" Herren E-Bike Trekking Fahrrad LUMINA BOSCH PERFORMANCE LINE 500Wh 10s SHIMANO DEORE XT"	https://www.airtracks.de/collections/e-bike-herren-damen-bosch-schimano-motor/products/28-zoll-herren-e-bike-trekking-fahrrad-lumina-bosch-performance-line-gen3-500wh-10s-shimano-deore-xt	"e-bike-herren-damen-bosch-schimano-motor – 28"" Herren E-Bike Trekking Fahrrad LUMINA BOSCH PERFORMANCE LINE 500Wh 10s SHIMANO DEORE XT"	6.4	30	5	5
24	46.0	1499.0	Shimano	new	Airtracks	28 Zoll E-Bike City Fahrrad LS WAVE SR3 CR SHIMANO STEPS E-5000 418Wh 5 GANG SHIMANO NEXUS INTER	https://www.airtracks.de/collections/e-bike-herren-damen-bosch-schimano-motor/products/28-zoll-e-bike-city-fahrrad-creon-ls-wave-x-tron-sr3-shimano-st%D0%B5ps-e-5000-418wh-5-gang-shimano-nexus-inter-kopie	e-bike-herren-damen-bosch-schimano-motor – 28 Zoll E-Bike City Fahrrad LS WAVE SR3 CR SHIMANO STEPS E-5000 418Wh 5 GANG SHIMANO NEXUS INTER	16.0	20	5	5
25	46.0	1499.0	Shimano	new	Airtracks	"28"" E-Bike Herren City Fahrrad X-Tron SR3 SHIMANO STEPS E-5000 418Wh 5 GANG SHIMANO NEXUS INTER"	https://www.airtracks.de/collections/e-bike-herren-damen-bosch-schimano-motor/products/28-zoll-herren-e-bike-xtron-sr3-shimano-steps-e-5000-418-wh-nexus-inter-5-gang	"e-bike-herren-damen-bosch-schimano-motor – 28"" E-Bike Herren City Fahrrad X-Tron SR3 SHIMANO STEPS E-5000 418Wh 5 GANG SHIMANO NEXUS INTER"	16.0	20	5	5
26	45.6	2149.0	Bosch	new	Airtracks	"28"" Damen E-Bike Trekking Fahrrad LUMINA GX3  BOSCH ACTIVE PLUS LINE 500 Wh 9s SHIMANO ALIVIO RD T-4000"	https://www.airtracks.de/collections/e-bike-herren-damen-bosch-schimano-motor/products/28-zoll-damen-e-bike-lumina-gx-3-bosch-performance-line-powerpack-500-wh-shimano-xt-t-8000	"e-bike-herren-damen-bosch-schimano-motor – 28"" Damen E-Bike Trekking Fahrrad LUMINA GX3  BOSCH ACTIVE PLUS LINE 500 Wh 9s SHIMANO ALIVIO RD T-4"	5.6	30	5	5
27	45.6	2149.0	Bosch	new	Airtracks	"28"" Damen E-Bike Trekking Fahrrad LUMINA GX3  BOSCH ACTIVE PLUS LINE 500 Wh 9s SHIMANO ALIVIO RD T-4000"	https://www.airtracks.de/collections/e-bikes-fahrrader-sale/products/28-zoll-damen-e-bike-lumina-gx-3-bosch-performance-line-powerpack-500-wh-shimano-xt-t-8000	"e-bikes-fahrrader-sale – 28"" Damen E-Bike Trekking Fahrrad LUMINA GX3  BOSCH ACTIVE PLUS LINE 500 Wh 9s SHIMANO ALIVIO RD T-4"	5.6	30	5	5
28	45.2	1549.0	Shimano	new	Airtracks	"28"" Damen E-Bike SHIMANO STEPS E-5000 City LS Fahrrad Wave Citybike 7 x Gang SHIMANO NEXUS"	https://www.airtracks.de/collections/e-bike-herren-damen-bosch-schimano-motor/products/28-zoll-damen-e-bike-shimano-steps-e5000-city-ls-fahrrad-wave-citybike-7-x-gang-shimano-nexus	"e-bike-herren-damen-bosch-schimano-motor – 28"" Damen E-Bike SHIMANO STEPS E-5000 City LS Fahrrad Wave Citybike 7 x Gang SHIMANO NEXUS"	15.2	20	5	5
29	44.8	2199.0	Bosch	new	Airtracks	"28"" Damen E-Bike LS Trekking Fahrrad LUMINA BOSCH ACTIVE PLUS LINE 500 Wh 8s SHIMANO NEXUS"	https://www.airtracks.de/collections/e-bike-herren-damen-bosch-schimano-motor/products/28-zoll-damen-e-bike-ls-trekking-fahrrad-lumina-bosch-active-plus-line-gen3-500-wh-8s-shimano-nexus	"e-bike-herren-damen-bosch-schimano-motor – 28"" Damen E-Bike LS Trekking Fahrrad LUMINA BOSCH ACTIVE PLUS LINE 500 Wh 8s SHIMANO NEXUS"	4.8	30	5	5
30	44.8	2199.0	Bosch	new	Airtracks	"28"" Herren E-Bike Trekking Fahrrad NOVA BOSCH PERFORMANCE LINE 500Wh 10s Shimano DEORE RD-T6000"	https://www.airtracks.de/collections/e-bike-herren-damen-bosch-schimano-motor/products/28-zoll-herren-e-bike-trekking-fahrrad-nova-bosch-performance-line-500wh-10s-shimano-deore-rd-t6000	"e-bike-herren-damen-bosch-schimano-motor – 28"" Herren E-Bike Trekking Fahrrad NOVA BOSCH PERFORMANCE LINE 500Wh 10s Shimano DEORE RD-T6000"	4.8	30	5	5
31	44.8	2199.0	Bosch	new	Airtracks	"28"" Herren E-Bike Trekking Fahrrad LUMINA GX 3 BOSCH PERFORMANCE LINE 500Wh 10s SHIMANO DEORE XT RD-T8000 SGS"	https://www.airtracks.de/collections/e-bike-herren-damen-bosch-schimano-motor/products/28-zoll-heren-e-bike-lumina-gx-3-bosch-performance-line-powerpack-500-wh-shimano-xt-t-8000	"e-bike-herren-damen-bosch-schimano-motor – 28"" Herren E-Bike Trekking Fahrrad LUMINA GX 3 BOSCH PERFORMANCE LINE 500Wh 10s SHIMANO DEORE XT RD-"	4.8	30	5	5
32	44.8	2199.0	Bosch	new	Airtracks	"28"" E-Bike Damen Trekking Fahrrad LUMINA GX3 LS BOSCH ACTIVE PLUS LINE 500 Wh 9 x GANG SHIMANO ALIVIO RD-M3100"	https://www.airtracks.de/collections/e-bike-herren-damen-bosch-schimano-motor/products/28-zoll-damen-e-bike-trekking-fahrrad-lumina-gx3-bosch-active-plus-line-gen3-500-wh-9s-shimano-alivio-kopie	"e-bike-herren-damen-bosch-schimano-motor – 28"" E-Bike Damen Trekking Fahrrad LUMINA GX3 LS BOSCH ACTIVE PLUS LINE 500 Wh 9 x GANG SHIMANO ALIVI"	4.8	30	5	5
33	44.8	2199.0	Bosch	new	Airtracks	28 Zoll Damen E-Bike LS City Fahrrad MOTIVE TF 1.7 Trekking Bike BOSCH ACTIVE PLUS LINE 400 Wh 7s SHIMANO NEXUS	https://www.airtracks.de/collections/e-bike-herren-damen-bosch-schimano-motor/products/motive-tf-1-7-wave	e-bike-herren-damen-bosch-schimano-motor – 28 Zoll Damen E-Bike LS City Fahrrad MOTIVE TF 1.7 Trekking Bike BOSCH ACTIVE PLUS LINE 400 Wh 7s SH	4.8	30	5	5
